id,name,location,website
1,Unknown,"",""
102,"South East Technological University","",""
182,"Carlow College St. Patrick`s","",""
185,"Munster Technological University","",""
257,"University College Cork (NUI)","",""
316,"Atlantic Technological University","",""
447,"American College","",""
449,"CCT College Dublin","",""
451,"Marino Institute of Education","",""
457,"Dublin Business School","",""
476,"Dublin City University","",""
541,"Dun Laoghaire Institute of Art Design and Technology","",""
559,"Griffith College","",""
580,"IBAT College Dublin","",""
581,"ICD Business School","",""
583,"National College of Art and Design","",""
593,"National College of Ireland (NCI)","",""
601,"RCSI University of Medicine & Health Sciences","",""
697,"Trinity College Dublin","",""
751,"University College Dublin (NUI)","",""
789,"Dundalk Institute of Technology","",""
827,"University of Galway","",""
892,"Mary Immaculate College","",""
908,"University of Limerick","",""
964,"Pontifical University St Patrick`s College","",""
968,"Maynooth University","",""
1009,"Setanta College","",""
1286,"Dorset College","",""
1386,"Galway Business School","",""
